kcet,college
71.84447,"Shri Shivaji Vidya Prasarak Sanstha's Late Bapusaheb Shivaji Rao Deore College of Engineering,Dhule"
29.002484,"Holy-Wood Academy's Sanjeevan Engineering and Technology Institute, Panhala"
30.3715881,"Samarth Education Trust's Arvind Gavali College Of Engineering Panwalewadi, Varye,Satara."
42.7471159,"Dr.Rajendra Gode Institute of Technology & Research, Amravati"
18.8346864,Shree Siddheshwar Women's College Of Engineering Solapur.
21.2035515,"Indala College Of Engineering, Bapsai Tal.Kalyan"
98.6189466,"Pune Vidyarthi Griha's College of Engineering and Technology, Pune"
94.0528523,"Anjuman-I-Islam's M.H. Saboo Siddik College of Engineering, Byculla, Mumbai"
64.211018,"Rajgad Dnyanpeeth's Technical Campus,Dhangwadi, Bhor"
22.4538864,"Jaywant College of Engineering & Management, Kille Macchindragad Tal. Walva"
83.5892181,"New Horizon Institute of Technology & Management, Thane"
